"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"2102","Normal/Others","WS/MP797/2024-2025/150967-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","In consultation with Shilu in Aliganj assembly of my parliamentary constituency Farrukhabad, cast a plan to install a high mast light with six LEDs near Bhagwanpur Tirahe. 8979075643","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
"2103","Normal/Others","WS/MP797/2024-2025/150966-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","In consultation with Pradeep Pradhan, in Aliganj assembly of my parliamentary constituency Farrukhabad, cast a plan to install a high mast light with six LEDs near Pahra Tiraha. 9759478525","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
"2104","Normal/Others","WS/MP797/2024-2025/150965-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","In consultation with Santosh Rajput, in Aliganj assembly of my parliamentary constituency Farrukhabad, cast a plan to install a high mast light with six LEDs near Nagla Mohan Tirahe. 9997575666","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
"2105","Normal/Others","WS/MP797/2024-2025/150964-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","In consultation with Navratan Pradhan, in Aliganj assembly of my parliamentary constituency Farrukhabad, cast a plan to install a high mast light with six LEDs near Maharaiya Tirahe. 9634544087","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
"2106","Normal/Others","WS/MP797/2024-2025/150976-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","In consultation with Manik Chandra in Aliganj assembly of my parliamentary constituency Farrukhabad, cast a plan to install a high mast light with six LEDs near Begumpur Tiraha. 7409592007","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
"2107","Normal/Others","WS/MP797/2024-2025/150975-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","In consultation with Sushil in Aliganj assembly of my parliamentary constituency Farrukhabad, cast the cost of installing a high mast light with six LEDs near Amritpur Tiraha. 8954592288","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
"2108","Normal/Others","WS/MP797/2024-2025/150974-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","In consultation with Sanjeev Verma, in Aliganj assembly of my parliamentary constituency Farrukhabad, cast a plan to install a high mast light with six LEDs near Mokheda Tirahe. 9675549004","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
"2109","Normal/Others","WS/MP797/2024-2025/150973-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","In consultation with Udayveer, in the assembly constituency of my parliamentary constituency Farrukhabad, Aliganj, cast a plan to install a high mast light with six LEDs near Akbarpur Kot Tiraha. 9639137738","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
"2110","Normal/Others","WS/MP797/2024-2025/150972-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","13-	In consultation with Lalaram, in Aliganj assembly of my parliamentary constituency Farrukhabad, cast a plan to install a high mast light with six LEDs near Angadpur Tiraha. 7830436402","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
"2111","Normal/Others","WS/MP797/2024-2025/150971-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","In consultation with Vijay Singh, in the assembly constituency of my parliamentary constituency Farrukhabad, Aliganj, cast a plan to install a high mast light with six LEDs near the Kaila Bhauraha intersection. 8923289123","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
"2112","Normal/Others","WS/MP797/2024-2025/150970-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","In consultation with Vijay Singh Rathore, in the Aliganj assembly of my parliamentary constituency Farrukhabad, cast a plan to install a high mast light with six LEDs near the Gadiya Jagannath temple. 9634544087","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
"2113","Normal/Others","WS/MP18152/2024-2025/157857-Street lights","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of Street lights","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","200000"
"2114","Normal/Others","WS/MP797/2024-2025/150980-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","In consultation with Vijay Taylor in Aliganj assembly of my parliamentary constituency Farrukhabad, cast the cost of installing a high mast light with six LEDs near Gadia Suhagpur intersection. 9897608481","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
"2115","Normal/Others","WS/MP18152/2024-2025/157844-Street lights","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of Street lights","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","200000"
"2116","Normal/Others","WS/MP797/2024-2025/150979-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","In consultation with Dr. Praveen in Aliganj assembly of my parliamentary constituency Farrukhabad, cast a plan to install a high mast light with six LEDs near the Saroth temple. 9557585742","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
"2117","Normal/Others","WS/MP18152/2024-2025/157845-Street lights","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of Street lights","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","200000"
"2118","Normal/Others","WS/MP18152/2024-2025/157849-Street lights","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Street lights at Gram Panchayat Navan Pehluwala","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","200000"
"2119","Normal/Others","WS/MP797/2024-2025/150978-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","In consultation with Mulayam Singh, in Aliganj assembly of my parliamentary constituency Farrukhabad, cast a plan to install a high mast light with six LEDs near Roopdhani Tiraha. 9759788896","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
"2120","Normal/Others","WS/MP797/2024-2025/150977-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","In consultation with Shiv Nandan in Aliganj assembly of my parliamentary constituency Farrukhabad, cast a plan to install a high mast light with six LEDs near Nagla Dheeraj Tiraha. 8433225223","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
"2121","Normal/Others","WS/MP797/2024-2025/150981-Street lights","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","In consultation with Tinni, in Aliganj assembly of my parliamentary constituency Farrukhabad, cast a plan to install a high mast light with six LEDs near Kulapur Budjar Tiraha. 9458678390","Mukesh Rajput","FARRUKHABAD","N/A","13-May-2025","238048"
"2122","Normal/Others","WS/MP18138/2024-2025/148104-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Constructon of PCC flooring  from BRTF Hall to Community hall, Tuipuibari","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","06-Feb-2026","1000000"
"2123","Normal/Others","WS/MP18336/2024-2025/147581-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","MUKTIDHAM SAMTALIKARAN AWAM PEVAR WORK GRAM PANCHAYAT AMERI BLOCK SIMGA DIST BALODABAZAR","BRIJMOHAN AGRAWAL","RAIPUR","N/A","05-Mar-2025","599486"
"2124","Normal/Others","WS/MP18138/2024-2025/148126-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Upgradation/Renovationof Thaidawr to Zomuantlang road, Phuldungsei, Zampui","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","06-Feb-2026","990000"
"2125","Normal/Others","WS/MP18138/2024-2025/148118-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of link road from W Mualthuam to W Bunghmun","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","06-Feb-2026","250000"
"2126","Normal/Others","WS/MP18138/2024-2025/148109-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Upgradation/Renovationof Thaidawr to Zomuantlang road, Phuldungsei, Zampui","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","06-Feb-2026","1000000"
"2127","Normal/Others","WS/MP18138/2024-2025/148119-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of PCC Flooring at Darlak","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","06-Feb-2026","250000"
"2128","Normal/Others","WS/MP18138/2024-2025/148117-Construction of boundary walls of existing public and community buildings","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of Retaining wall near Public Water reserved Tanky","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","06-Feb-2026","250000"
"2129","Normal/Others","WS/MP18377/2024-2025/153059-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","SHAHDANA ME SRIMATI LAKSHMI JI KE MAKAN SE KAILASH JI KE MAKAN KI OR CC ROAD OR NALI NIRMAN","CHHATRA PAL SINGH GANGWAR","BAREILLY","N/A","07-Mar-2025","248117"
"2130","Normal/Others","WS/MP18161/2024-2025/138120-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Interlocking Eat kharanja May nali Maharaj Singh ke Ghar se lalchand jatav ke Ghar ki or mavai work agency GP mavai","SANJNA JATAV","BHARATPUR(SC)","Images","03-Feb-2025","399383"
"2131","Normal/Others","WS/MP18309/2024-2025/143138-Construction of rooms and halls in school and colleges","Meghalaya","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","extension of class room for christian boys school at tura","SALENG A SANGMA","TURA","Images","30-May-2025","1000000"
"2132","Normal/Others","WS/MP18152/2024-2025/157885-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of Mid day Meal Shed in Govt Primary school Moranwali","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","300000"
"2133","Normal/Others","WS/MP18108/2024-2025/163486-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","Gram Panchayat Berkheri Suwansh Ke Gram Berkherikhurd me chetu Adiwasi ke ghar se dowrka Patel ke ghar ki or C.C. Road Nirman karya Hetu.","DR. LATA WANKHEDE","SAGAR","Images","29-Oct-2025","499000"
"2134","Normal/Others","WS/MP18199/2024-2025/135905-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","GRAM PANCHAYAT HARDI KOTWA SADAK SE NATRATALIYA ROAD TAK KHADANJA KARYA DURI 120M","LALJI VERMA","AMBEDKAR NAGAR","Images","14-Jan-2026","268834"
"2135","Normal/Others","WS/MP465/2024-2025/137495-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","????? ??? ?????? ?? ????? ?????? ???????? ????? ?? ???? ????? ????? ??? ????? ???? ?? ?????? ?? ???? ???? ?? ?? ?? ?????????? ?????","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Images","11-Aug-2025","517653"
"2136","Normal/Others","WS/MP859/2024-2025/150948-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","CONSTRUCTION  OF CONCRETE ROAD FROM H/O – SWAPAN MITRA TO HO MALOY AT BAKSHA G.P UNDER  CHANDITALA – II PANCHAYAT SAMITI, DIST- HOOGHLY.","Kalyan Banerjee","SREERAMPUR","Images","10-Mar-2025","432144"
"2137","Normal/Others","WS/MP761/2024-2025/139008-Construction of public libraries and reading rooms","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Construction of Library building at Bapuji Vachanalayam","Arvind Dharmapuri","NIZAMABAD","N/A","17-Jan-2025","494999"
"2138","Normal/Others","WS/MP18257/2024-2025/141680-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Construction of a concrete road from the house of Khokon Jana to the house of Paresh Jana at mouza- Amdabad, J.L. No. 140, Plot No. 914 to 978 under Amdabad-I G.P.","ABHIJIT GANGOPADHYAY","TAMLUK","Images","27-Nov-2025","265172"
"2139","Normal/Others","WS/MP18199/2024-2025/135902-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","GRAM PANCHAYAT JARAHI ME KALI CHAURA SE PRATHMIK VIDDYALAYA TA INTERLOCKING KARYA DURU 170M","LALJI VERMA","AMBEDKAR NAGAR","Images","14-Jan-2026","987580"
"2140","Normal/Others","WS/MP18199/2024-2025/135903-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","GANESHPUR PAKKI SADAK SE KHDANJA SE KEVTAHIYA TAK KHADANJA KARYA DURU 450M","LALJI VERMA","AMBEDKAR NAGAR","Images","14-Jan-2026","895943"
"2141","Normal/Others","WS/MP18199/2024-2025/135904-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","BAREHATA KHALWAIYA KHADANJA SE RIWARA TAK KHADANJA KARYA DURU 370M","LALJI VERMA","AMBEDKAR NAGAR","Images","14-Jan-2026","861327"
"2142","Normal/Others","WS/MP18199/2024-2025/135907-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","DAFFARPUR PAKKI SADAK SE TRANSFARMAR TAK NAHAR PATARI PAR KHADANJA KARYA DURI 400M","LALJI VERMA","AMBEDKAR NAGAR","Images","14-Jan-2026","856066"
"2143","Normal/Others","WS/MP18199/2024-2025/135918-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","HAIDAR GANJ FULAUNA MARG PAR PACHGAWAN PATEL NAGAR SE BANDHAN PURWA TAK KHADAJA KARYA DURI 420M","LALJI VERMA","AMBEDKAR NAGAR","Images","14-Jan-2026","768457"
"2144","Normal/Others","WS/MP18199/2024-2025/135919-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","GRAM SABHA KAKOLI DIHWA ME PAKKI SADAK MEWALAL VERMA KHET SE RANJEET VERMA KE GHAR TAK CC KARYA DURI 170M","LALJI VERMA","AMBEDKAR NAGAR","Images","14-Jan-2026","990946"
"2145","Normal/Others","WS/MP18199/2024-2025/135921-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","TARAPUR KHADANJA SE VEDA PUR BORDAR TAK KHADANJA KARYA DURI 180M","LALJI VERMA","AMBEDKAR NAGAR","Images","14-Jan-2026","395772"
"2146","Normal/Others","WS/MP18199/2024-2025/135901-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","PAKKIN SADAK SHIVKALI INTER COLLEGE SE NANDNAWA GAON TAK KHADANJA KARYA DURI 330M","LALJI VERMA","AMBEDKAR NAGAR","Images","14-Jan-2026","764954"
"2147","Normal/Others","WS/MP568/2024-2025/161390-Construction of community centers and community halls","Chhattisgarh","BEMETARA(Collector Bemetara_IDA)","CC ROAD NIRMAN","Vijay Baghel","DURG","Images","13-Aug-2025","492899"
"2148","Normal/Others","WS/MP18199/2024-2025/135899-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","SHIVTAR GUMAN KA PURA PAKKI SADAK SE PAAL BASTI TAK INTERLOCKING KARYA DURI 130M","LALJI VERMA","AMBEDKAR NAGAR","Images","14-Jan-2026","565743"
"2149","Normal/Others","WS/MP568/2024-2025/161395-Construction of community centers and community halls","Chhattisgarh","BEMETARA(Collector Bemetara_IDA)","CC ROAD NIRMAN","Vijay Baghel","DURG","Images","11-Sep-2025","500000"
"2150","Normal/Others","WS/MP568/2024-2025/161394-Construction of community centers and community halls","Chhattisgarh","BEMETARA(Collector Bemetara_IDA)","CC ROAD NIRMAN","Vijay Baghel","DURG","Images","18-Nov-2025","1000000"
"2151","Normal/Others","WS/MP568/2024-2025/161393-Construction of community centers and community halls","Chhattisgarh","BEMETARA(Collector Bemetara_IDA)","CC ROAD NIRMAN","Vijay Baghel","DURG","Images","13-Aug-2025","500000"
"2152","Normal/Others","WS/MP18357/2024-2025/161988-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SHIVPURI(District Collector Shivpuri_IDA)","Construction of CC Road","JYOTIRADITYA M. SCINDIA","GUNA","Images","17-Jun-2025","1000000"
"2153","Normal/Others","WS/MP568/2024-2025/161392-Construction of community centers and community halls","Chhattisgarh","BEMETARA(Collector Bemetara_IDA)","CC ROAD NIRMAN","Vijay Baghel","DURG","Images","11-Sep-2025","500000"
"2154","Normal/Others","WS/MP568/2024-2025/161391-Construction of community centers and community halls","Chhattisgarh","BEMETARA(Collector Bemetara_IDA)","CC ROAD NIRMAN","Vijay Baghel","DURG","Images","14-Nov-2025","998442"
"2155","Normal/Others","WS/MP18336/2024-2025/157133-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","CC ROAD NIRMAN - GRAM PANCHAYAT KOTMI, BLOCK BHATAPARA, DIST BALODABAZAR","BRIJMOHAN AGRAWAL","RAIPUR","N/A","29-Apr-2025","500000"
"2156","Normal/Others","WS/MP18336/2024-2025/157132-Construction of community centers and community halls","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","SAMUDAYIK BHAWAN NIRMAN - GRAM PANCHAYAT MALDI BLOCK BHATAPARA DIST BALODABAZAR","BRIJMOHAN AGRAWAL","RAIPUR","N/A","04-Nov-2025","1000000"
"2157","Normal/Others","WS/MP18377/2024-2025/152282-Street lights","Uttar Pradesh","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","VIKAS KHAND FATEHGANJ W ME 20 STREET LIGHTS","CHHATRA PAL SINGH GANGWAR","BAREILLY","N/A","13-Sep-2025","854043"
"2158","Normal/Others","WS/MP18377/2024-2025/152280-Street lights","Uttar Pradesh","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","VIKAS KHAND FATEHGANJ W ME 20 STREET LIGHTS","CHHATRA PAL SINGH GANGWAR","BAREILLY","N/A","13-Sep-2025","854043"
"2159","Normal/Others","WS/MP18377/2024-2025/152283-Street lights","Uttar Pradesh","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","VIKAS KHAND FATEHGANJ W ME 20 STREET LIGHTS","CHHATRA PAL SINGH GANGWAR","BAREILLY","N/A","13-Sep-2025","854043"
"2160","Normal/Others","WS/MP18377/2024-2025/152281-Street lights","Uttar Pradesh","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","VIKAS KHAND FATEHGANJ W ME 20 STREET LIGHTS","CHHATRA PAL SINGH GANGWAR","BAREILLY","N/A","13-Sep-2025","854043"
